ProtocolName	SequenceName	SeriesDescription
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2
gre_field_mapping	*fm2d2r	gre_field_mapping
gre_field_mapping	*fm2d2r	gre_field_mapping
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1
Phoenix Document		PhoenixZIPReport
t2_swi_tra_p2_	*swi3d1r	Mag_Images
t2_swi_tra_p2_	*swi3d1r	Pha_Images
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)
t2_swi_tra_p2_	*swi3d1r	SWI_Images
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA
ep2d_diff_mddw_64_p2		ep2d_diff_mddw_64_p2_ColFA
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra	*tir2d1_17	t2_tse_dark-fluid_tra
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2
gre_field_mapping	*fm2d2r	gre_field_mapping
gre_field_mapping	*fm2d2r	gre_field_mapping
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1
t2_swi_tra_p2_	*swi3d1r	Mag_Images
t2_swi_tra_p2_	*swi3d1r	Pha_Images
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)
t2_swi_tra_p2_	*swi3d1r	SWI_Images
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA
ep2d_diff_mddw_64_p2		ep2d_diff_mddw_64_p2_ColFA
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2
gre_field_mapping	*fm2d2r	gre_field_mapping
gre_field_mapping	*fm2d2r	gre_field_mapping
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1
t2_swi_tra_p2_	*swi3d1r	Mag_Images
t2_swi_tra_p2_	*swi3d1r	Pha_Images
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)
t2_swi_tra_p2_	*swi3d1r	SWI_Images
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA
ep2d_diff_mddw_64_p2		ep2d_diff_mddw_64_p2_ColFA
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2
gre_field_mapping	*fm2d2r	gre_field_mapping
gre_field_mapping	*fm2d2r	gre_field_mapping
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1
t2_swi_tra_p2_	*swi3d1r	Mag_Images
t2_swi_tra_p2_	*swi3d1r	Pha_Images
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)
t2_swi_tra_p2_	*swi3d1r	SWI_Images
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA
ep2d_diff_mddw_64_p2		ep2d_diff_mddw_64_p2_ColFA
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State
Phoenix Document		PhoenixZIPReport
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
t1_petra_tra	*Petra3d1_400	t1_petra_tra
t2_tse_dark-fluid_tra_FAST	*tir2d1_17	t2_tse_dark-fluid_tra_FAST
t2_tse_tra_512	*tse2d1_15	t2_tse_tra_512
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2
gre_field_mapping	*fm2d2r	gre_field_mapping
gre_field_mapping	*fm2d2r	gre_field_mapping
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1
t2_swi_tra_p2_	*swi3d1r	Mag_Images
t2_swi_tra_p2_	*swi3d1r	Pha_Images
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)
t2_swi_tra_p2_	*swi3d1r	SWI_Images
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA
ep2d_diff_mddw_64_p2		ep2d_diff_mddw_64_p2_ColFA
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
Phoenix Document		PhoenixZIPReport
		complex combination with multiple images
		complex combination with multiple images
AAHead_Scout	*fl3d1_ns	AAHead_Scout
		complex combination with multiple images
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
		complex combination with multiple images
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2
gre_field_mapping	*fm2d2r	gre_field_mapping
gre_field_mapping	*fm2d2r	gre_field_mapping
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1
t2_swi_tra_p2_	*swi3d1r	Mag_Images
t2_swi_tra_p2_	*swi3d1r	Pha_Images
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)
t2_swi_tra_p2_	*swi3d1r	SWI_Images
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA
ep2d_diff_mddw_64_p2		ep2d_diff_mddw_64_p2_ColFA
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
cmrr_mbep2d_se_rl	*epfid2d1_64	cmrr_mbep2d_se_rl
cmrr_mbep2d_se_lr	*epfid2d1_64	cmrr_mbep2d_se_lr
cmrr_mbep2d_se_AP	*epfid2d1_64	cmrr_mbep2d_se_AP
cmrr_mbep2d_se_PA	*epfid2d1_64	cmrr_mbep2d_se_PA
cmrr_mbep2d_bold_sref	*epfid2d1_64	cmrr_mbep2d_bold_sref
cmrr_mbep2d_bold_videos_AP	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP
cmrr_mbep2d_diff_AP_mb8	ep_b0	cmrr_mbep2d_diff_AP_mb8
cmrr_mbep2d_diff_PA_mb8	ep_b0	cmrr_mbep2d_diff_PA_mb8
cmrr_mbep2d_diff_AP_mb4	ep_b0	cmrr_mbep2d_diff_AP_mb4
t2_space_sag_iso_p4	*spcR_282ns	t2_space_sag_iso_p4
t2_tse_tra_p3	*qtse2d1_15	t2_tse_tra_p3
t2_tse_tra_p3_noisereduction	*tse2d1_15	t2_tse_tra_p3_noisereduction
cmrr_mbep2d_bold_videos_AP	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP
cmrr_mbep2d_diff_PA_mb4	ep_b0	cmrr_mbep2d_diff_PA_mb4
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
CBU_mbep2d_1.75mm_AP_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_1.75mm_AP_MB4_98dir_b300_b1000_b2000
CBU_mbep2d_1.75mm_PA_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_1.75mm_PA_MB4_98dir_b300_b1000_b2000
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
cmrr_mbep2d_se_AP	*epfid2d1_64	cmrr_mbep2d_se_AP
cmrr_mbep2d_se_PA	*epfid2d1_64	cmrr_mbep2d_se_PA
cmrr_mbep2d_bold_sref	*epfid2d1_64	cmrr_mbep2d_bold_sref
cmrr_mbep2d_bold_videos_AP	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP
cmrr_mbep2d_diff_AP_mb4	ep_b0	cmrr_mbep2d_diff_AP_mb4
cmrr_mbep2d_diff_AP_mb4_norm	ep_b0	cmrr_mbep2d_diff_AP_mb4_norm
t2_tse_tra_p3_noisereduction	*qtse2d1_15	t2_tse_tra_p3_noisereduction
cmrr_mbep2d_diff_AP_mb8_norm	ep_b0	cmrr_mbep2d_diff_AP_mb8_norm
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
cmrr_mbep2d_diff_AP_mb4_norm	ep_b0	cmrr_mbep2d_diff_AP_mb4_norm
cmrr_mbep2d_diff_AP_mb4_norm_pulse1.5x	ep_b0	cmrr_mbep2d_diff_AP_mb4_norm_pulse1.5x
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2
gre_field_mapping	*fm2d2r	gre_field_mapping
gre_field_mapping	*fm2d2r	gre_field_mapping
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1
t2_swi_tra_p2_	*swi3d1r	Mag_Images
t2_swi_tra_p2_	*swi3d1r	Pha_Images
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)
t2_swi_tra_p2_	*swi3d1r	SWI_Images
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA
ep2d_diff_mddw_64_p2		ep2d_diff_mddw_64_p2_ColFA
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State
CBU_mbep2d_1.75mm_AP_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_1.75mm_AP_MB4_98dir_b300_b1000_b2000
CBU_mbep2d_1.75mm_PA_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_1.75mm_PA_MB4_98dir_b300_b1000_b2000
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t2_haste_tra_p2	*h2d1_256	t2_haste_tra_p2
gre_field_mapping	*fm2d2r	gre_field_mapping
gre_field_mapping	*fm2d2r	gre_field_mapping
ep2d_bold_moco_p2_fMRI_PREVENT Movie	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_PREVENT Movie
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0_ND
t1_mprage_sag_p2_isa_1.0	*tfl3d1_16ns	t1_mprage_sag_p2_isa_1.0
ep2d_bold_moco_p2_fMRI_Part1	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part1
t2_swi_tra_p2_	*swi3d1r	Mag_Images
t2_swi_tra_p2_	*swi3d1r	Pha_Images
t2_swi_tra_p2_	*swi3d1r	mIP_Images(SW)
t2_swi_tra_p2_	*swi3d1r	SWI_Images
ep2d_diff_mddw_64_p2	*ep_b0	ep2d_diff_mddw_64_p2
ep2d_diff_mddw_64_p2	*ep_b1000t	ep2d_diff_mddw_64_p2_TRACEW
ep2d_diff_mddw_64_p2	*ep_b0_1000	ep2d_diff_mddw_64_p2_FA
ep2d_diff_mddw_64_p2		ep2d_diff_mddw_64_p2_ColFA
CBU_mbep2d_1.75mm_AP_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_1.75mm_AP_MB4_98dir_b300_b1000_b2000
CBU_mbep2d_1.75mm_PA_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_1.75mm_PA_MB4_98dir_b300_b1000_b2000
ep2d_bold_moco_p2_fMRI_Part2	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Part2
t2_tse_cor_Hippocampus	*tse2d1_16	t2_tse_cor_Hippocampus
t2_tse_dark-fluid_tra	*tir2d1_16	t2_tse_dark-fluid_tra
ep2d_tra_pasl_p2	*epfid2d1_64	ep2d_tra_pasl_p2
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted
ep2d_tra_pasl_p2	*epfid2d1_64	relCBF
ep2d_bold_moco_p2_fMRI_Resting_State	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Resting_State
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
cmrr_mbep2d_se_AP	*epfid2d1_64	cmrr_mbep2d_se_AP
cmrr_mbep2d_se_PA	*epfid2d1_64	cmrr_mbep2d_se_PA
cmrr_mbep2d_bold_videos_AP	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP
cmrr_mbep2d_bold_Pictures_AP	*epfid2d1_64	cmrr_mbep2d_bold_Pictures_AP
cmrr_mbep2d_bold_videos_AP_SMALLVOXEL	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP_SMALLVOXEL
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
cmrr_mbep2d_se_AP	*epfid2d1_64	cmrr_mbep2d_se_AP
cmrr_mbep2d_se_PA	*epfid2d1_64	cmrr_mbep2d_se_PA
cmrr_mbep2d_bold_videos_AP	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP
t2_tse_tra_p3_noisereduction	*qtse2d1_15	t2_tse_tra_p3_noisereduction
cmrr_mbep2d_diff_AP_mb4_norm_pulse1.5x	ep_b0	cmrr_mbep2d_diff_AP_mb4_norm_pulse1.5x
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
ep2d_bold_moco_p2_fMRI_Visual	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Visual
ep2d_bold_moco_p2_fMRI_Visual	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Visual
ep2d_bold_moco_p2_fMRI_Audio	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Audio
ep2d_bold_moco_p2_fMRI_Audio	*epfid2d1_64	ep2d_bold_moco_p2_fMRI_Audio
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
